Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_SumOfFitnessScore
2,47,0.5483871,0.5483871
2,48,0.5483871,0.5483871
2,49,0.5483871,0.5483871
2,50,0.5483871,0.5483871
2,51,0.5483871,0.5483871
2,52,0.5483871,0.5483871
2,53,0.5483871,0.5483871
2,54,0.5483871,0.5483871
2,55,0.5483871,0.5483871
2,56,0.5483871,0.5483871
2,57,0.5483871,0.5483871
2,58,0.5483871,0.5483871
2,59,0.5483871,0.5483871
2,60,0.5483871,0.5483871
2,61,0.5483871,0.5483871
2,62,0.5483871,0.5483871
2,63,0.5483871,0.5483871
2,64,0.5483871,0.5483871
2,65,0.5483871,0.5483871
2,66,0.5483871,0.5483871
2,67,0.5483871,0.5483871
2,68,0.5483871,0.5483871
2,69,0.5483871,0.5483871
2,70,0.5483871,0.5483871
2,71,0.5483871,0.5483871
2,72,0.5483871,0.5483871
2,73,0.5483871,0.5483871
2,74,0.5483871,0.5483871
2,75,0.5483871,0.5483871
2,76,0.5483871,0.5483871
2,77,0.5483871,0.5483871
2,78,0.5483871,0.5483871
2,79,0.5483871,0.5483871
2,80,0.5483871,0.5483871
2,81,0.5483871,0.5483871
2,82,0.5483871,0.5483871
2,83,0.5483871,0.5483871
2,84,0.5483871,0.5483871
2,85,0.5483871,0.5483871
2,86,0.5483871,0.5483871
2,87,0.5483871,0.5483871
2,88,0.5483871,0.5483871
2,89,0.5483871,0.5483871
2,90,0.5483871,0.5483871
2,91,0.5483871,0.5483871
2,92,0.5483871,0.5483871
2,93,0.5483871,0.5483871
2,94,0.5483871,0.5483871
2,95,0.5483871,0.5483871
2,96,0.5483871,0.5483871
2,97,0.5483871,0.5483871
2,98,0.5483871,0.5483871
2,99,0.5483871,0.5483871
3,0,0.5483871,0.5483871
3,1,0.5483871,0.5483871
3,2,0.5483871,0.5483871
3,3,0.5483871,0.5483871
3,4,0.5483871,0.5483871
3,5,0.5483871,0.5483871
3,6,0.5483871,0.5483871
3,7,0.5483871,0.5483871
3,8,0.5483871,0.5483871
3,9,0.5483871,0.5483871
3,10,0.5483871,0.5483871
3,11,0.5483871,0.5483871
3,12,0.5483871,0.5483871
3,13,0.5483871,0.5483871
3,14,0.5483871,0.5483871
3,15,0.5483871,0.5483871
3,16,0.5483871,0.5483871
3,17,0.5483871,0.5483871
3,18,0.5483871,0.5483871
3,19,0.5483871,0.5483871
3,20,0.5483871,0.5483871
3,21,0.5483871,0.5483871
3,22,0.5483871,0.5483871
3,23,0.5483871,0.5483871
3,24,0.5483871,0.5483871
3,25,0.5483871,0.5483871
3,26,0.5483871,0.5483871
3,27,0.5483871,0.5483871
3,28,0.5483871,0.5483871
3,29,0.5483871,0.5483871
3,30,0.5483871,0.5483871
3,31,0.5483871,0.5483871
3,32,0.5483871,0.5483871
3,33,0.5483871,0.5483871
3,34,0.5483871,0.5483871
3,35,0.5483871,0.5483871
3,36,0.5483871,0.5483871
3,37,0.5483871,0.5483871
3,38,0.5483871,0.5483871
3,39,0.5483871,0.5483871
3,40,0.5483871,0.5483871
3,41,0.5483871,0.5483871
3,42,0.5483871,0.5483871
3,43,0.5483871,0.5483871
3,44,0.5483871,0.5483871
3,45,0.5483871,0.5483871
3,46,0.5483871,0.5483871
3,47,0.5483871,0.5483871
3,48,0.5483871,0.5483871
3,49,0.5483871,0.5483871
3,50,0.5483871,0.5483871
3,51,0.5483871,0.5483871
3,52,0.5483871,0.5483871
3,53,0.5483871,0.5483871
3,54,0.5483871,0.5483871
3,55,0.5483871,0.5483871
3,56,0.5483871,0.5483871
3,57,0.5483871,0.5483871
3,58,0.5483871,0.5483871
3,59,0.5483871,0.5483871
3,60,0.5483871,0.5483871
3,61,0.5483871,0.5483871
3,62,0.5483871,0.5483871
3,63,0.5483871,0.5483871
3,64,0.5483871,0.5483871
3,65,0.5483871,0.5483871
3,66,0.5483871,0.5483871
